Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
LOC_Os05g16460,Chr5,9345496,9346158,expressed protein
LOC_Os11g47750,Chr11,28802401,28803658,expressed protein
LOC_Os03g42820,Chr3,23855144,23861941,"LIM domain-containing protein, putative, expressed"
LOC_Os02g43420,Chr2,26207151,26207387,hypothetical protein
LOC_Os01g64370,Chr1,37360254,37363436,expressed protein
LOC_Os03g41150,Chr3,22880011,22880454,expressed protein
LOC_Os03g53930,Chr3,30920685,30921906,expressed protein
LOC_Os07g43840,Chr7,26220253,26221124,"nucleic acid binding protein, putative, expressed"
LOC_Os02g12680,Chr2,6628383,6630103,"cytochrome P450, putative, expressed"
LOC_Os05g49830,Chr5,28597576,28598885,"lipase class 3 family protein, putative, expressed"
LOC_Os02g16620,Chr2,9497687,9500457,"reticulon domain containing protein, putative, expressed"
LOC_Os06g10470,Chr6,5388229,5389014,"ZOS6-02 - C2H2 zinc finger protein, expressed"
LOC_Os11g04360,Chr11,1811713,1813623,"alpha/beta hydrolase fold, putative, expressed"
LOC_Os03g10500,Chr3,5341101,5347082,"adenylyl-sulfate kinase, putative, expressed"
LOC_Os10g21346,Chr10,10886437,10887209,"chloroplast 30S ribosomal protein S3, putative, expressed"
LOC_Os07g05640,Chr7,2686437,2689917,"transporter family protein, putative, expressed"
LOC_Os08g43370,Chr8,27403439,27406438,"6-phosphogluconolactonase, putative, expressed"
LOC_Os02g16540,Chr2,9446492,9448847,"WRKY39, expressed"
LOC_Os07g02240,Chr7,718602,719827,"transcription factor X1, putative, expressed"
LOC_Os11g04940,Chr11,2110687,2111904,"phospholipase, putative, expressed"
LOC_Os07g30369,Chr7,17973962,17975551,"indole-3-acetate beta-glucosyltransferase, putative, expressed"
LOC_Os10g18520,Chr10,9396281,9396496,expressed protein
LOC_Os11g30080,Chr11,17500374,17502819,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os06g44320,Chr6,26756214,26757596,expressed protein
LOC_Os02g33070,Chr2,19648491,19649521,expressed protein
LOC_Os03g54780,Chr3,31140050,31148974,"STE_PAK_Ste20_KHSh_GCKh_HPKh.1 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
LOC_Os08g43740,Chr8,27640086,27641468,expressed protein
LOC_Os11g25874,Chr11,14747967,14749382,hypothetical protein
LOC_Os06g07410,Chr6,3564647,3565652,hypothetical protein
LOC_Os03g60660,Chr3,34488052,34488738,expressed protein
LOC_Os04g56950,Chr4,33950221,33952563,"jasmonate O-methyltransferase, putative, expressed"
LOC_Os03g41940,Chr3,23294200,23294912,expressed protein
LOC_Os07g37710,Chr7,22607893,22608644,"oligonucleotide/oligosaccharide-binding fold containing 2B, putative, expressed"
LOC_Os11g06700,Chr11,3266129,3268401,"exo70 exocyst complex subunit, putative, expressed"
LOC_Os01g15448,Chr1,8657064,8658466,expressed protein
LOC_Os08g02400,Chr8,956309,958681,"40S ribosomal protein S13, putative, expressed"
LOC_Os09g38239,Chr9,22013749,22015250,"sulfotransferase domain containing protein, expressed"
LOC_Os01g01770,Chr1,409700,410818,"ZOS1-01 - C2H2 zinc finger protein, expressed"
LOC_Os01g57840,Chr1,33448306,33449348,expressed protein
LOC_Os03g51530,Chr3,29479234,29479886,expressed protein
LOC_Os10g26280,Chr10,13600497,13606431,"ORC3 - Putative origin recognition complex subunit 3, expressed"
LOC_Os07g45780,Chr7,27330316,27333500,expressed protein
LOC_Os02g39150,Chr2,23651983,23652495,expressed protein
LOC_Os03g41400,Chr3,23045392,23046942,"EBNA-1, putative, expressed"
LOC_Os11g20384,Chr11,11786136,11801782,"SacI homology domain containing protein, expressed"
LOC_Os01g24440,Chr1,13778572,13779786,"glycine-rich protein, putative, expressed"
LOC_Os04g25590,Chr4,14833892,14836059,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os08g26200,Chr8,15936885,15938362,expressed protein
LOC_Os06g40670,Chr6,24243966,24244379,expressed protein
LOC_Os05g25680,Chr5,14937125,14937703,expressed protein
LOC_Os02g16550,Chr2,9458282,9463804,"Ser/Thr protein phosphatase family protein, putative, expressed"
LOC_Os11g11680,Chr11,6494799,6495209,"LGC1, putative, expressed"
LOC_Os04g06734,Chr4,3539703,3547962,expressed protein
LOC_Os09g04600,Chr9,2450046,2450436,expressed protein
LOC_Os02g30420,Chr2,18120209,18121518,expressed protein
LOC_Os03g27060,Chr3,15491391,15491594,expressed protein
LOC_Os11g20020,Chr11,11519730,11521396,expressed protein
LOC_Os08g22389,Chr8,13505336,13505616,hypothetical protein
LOC_Os12g33962,Chr12,20514770,20515834,"uncharacterized tatC-like protein ymf16, putative, expressed"
LOC_Os06g05150,Chr6,2285893,2286794,expressed protein
LOC_Os02g39840,Chr2,24068333,24074777,"eukaryotic initiation factor iso-4F subunit p82-34, putative, expressed"
LOC_Os05g12080,Chr5,6916166,6916516,expressed protein
LOC_Os12g27090,Chr12,15857979,15866742,expressed protein
LOC_Os03g51790,Chr3,29705032,29721934,"GTPase of unknown function domain containing protein, putative, expressed"
LOC_Os05g24900,Chr5,14417739,14419798,expressed protein
LOC_Os06g07350,Chr6,3536682,3540238,"RNA-binding motif protein, putative, expressed"
LOC_Os02g06850,Chr2,3458253,3458633,expressed protein
LOC_Os03g17370,Chr3,9664896,9667193,"white-brown complex homolog protein, putative, expressed"
LOC_Os01g63980,Chr1,37146917,37149200,"ZOS1-17 - C2H2 zinc finger protein, expressed"
LOC_Os10g18790,Chr10,9561894,9564628,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os04g48740,Chr4,29069615,29070154,hypothetical protein
LOC_Os02g49740,Chr2,30405081,30405557,expressed protein
LOC_Os03g19890,Chr3,11180955,11183962,"NADH dehydrogenase 1 alpha subcomplex subunit 5, putative, expressed"
LOC_Os01g10300,Chr1,5417184,5418745,expressed protein
LOC_Os01g46060,Chr1,26183883,26190195,"NUC189 domain containing protein, expressed"
LOC_Os08g16070,Chr8,9795796,9798581,"NB-ARC domain containing protein, expressed"
LOC_Os12g34510,Chr12,20888185,20889121,"Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed"
LOC_Os12g34400,Chr12,20850016,20851258,expressed protein
LOC_Os02g23930,Chr2,13863852,13866637,expressed protein
LOC_Os04g50216,Chr4,29975239,29977835,"SNARE associated Golgi protein, putative, expressed"
LOC_Os06g11500,Chr6,6086289,6097662,"MCM9 - Putative minichromosome maintenance MCM family subunit 9, expressed"
LOC_Os06g08350,Chr6,4051268,4052804,expressed protein
LOC_Os02g43220,Chr2,26046025,26046681,"polyamine oxidase, putative, expressed"
LOC_Os07g48370,Chr7,28908953,28914097,"glycosyl transferase, family 8, putative, expressed"
LOC_Os03g37330,Chr3,20690684,20692541,"KIN, antigenic determinant of recA protein, putative, expressed"
LOC_Os03g01300,Chr3,208330,211839,"LTPL114 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
LOC_Os01g10880,Chr1,5808045,5808340,expressed protein
LOC_Os04g12669,Chr4,7014342,7021168,expressed protein
LOC_Os01g01610,Chr1,306869,308842,"IscA-like iron-sulfur assembly protein, mitochondrial precursor, putative, expressed"
LOC_Os09g20730,Chr9,12485714,12487170,"peptidase aspartic family protein, putative, expressed"
LOC_Os06g25340,Chr6,14841927,14844971,hypothetical protein
LOC_Os03g17030,Chr3,9461141,9465513,"polyadenylate-binding protein, putative, expressed"
LOC_Os03g13550,Chr3,7323975,7328866,"oxidoreductase, putative, expressed"
LOC_Os11g39740,Chr11,23683394,23684597,expressed protein
LOC_Os08g33154,Chr8,20618998,20622780,expressed protein
LOC_Os07g20570,Chr7,11884920,11885704,hypothetical protein
LOC_Os06g41830,Chr6,25085537,25086526,"SMP-30/Gluconolaconase/LRE-like region containing protein, expressed"
LOC_Os10g26240,Chr10,13592052,13592674,"no apical meristem protein, putative, expressed"
LOC_Os01g50680,Chr1,29104884,29109135,"OsSub2 - Putative Subtilisin homologue, expressed"
LOC_Os05g41840,Chr5,24504454,24505077,expressed protein
LOC_Os02g13580,Chr2,7281235,7285696,"kinesin motor domain containing protein, expressed"
LOC_Os03g41810,Chr3,23218781,23219212,hypothetical protein
LOC_Os01g05900,Chr1,2820036,2838580,"Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed"
LOC_Os11g48070,Chr11,28982944,28985763,"GDSL-like lipase/acylhydrolase, putative, expressed"
LOC_Os01g61460,Chr1,35538327,35544333,"leaf senescence related protein, putative, expressed"
LOC_Os04g50200,Chr4,29958106,29959638,"OsFBX151 - F-box domain containing protein, expressed"
LOC_Os02g35810,Chr2,21513032,21513638,expressed protein
LOC_Os03g53640,Chr3,30755791,30757510,expressed protein
LOC_Os02g33560,Chr2,19962597,19967923,expressed protein
LOC_Os03g62460,Chr3,35373896,35376934,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os12g40710,Chr12,25202156,25204363,"helix-loop-helix DNA-binding domain containing protein, expressed"
LOC_Os03g38600,Chr3,21420949,21425467,"secretory carrier-associated membrane protein, putative, expressed"
LOC_Os05g11200,Chr5,6329825,6331454,expressed protein
LOC_Os12g40330,Chr12,24974393,24975145,expressed protein
LOC_Os02g44235,Chr2,26767603,26770876,expressed protein
LOC_Os08g08690,Chr8,5032652,5033074,expressed protein
LOC_Os03g20850,Chr3,11805189,11807807,"exostosin family domain containing protein, expressed"
LOC_Os03g49620,Chr3,28254419,28259880,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed"
LOC_Os10g02900,Chr10,1183564,1183953,expressed protein
LOC_Os07g18580,Chr7,10988755,10989532,expressed protein
LOC_Os03g44910,Chr3,25355332,25355970,"EBNA-1, putative, expressed"
LOC_Os07g08700,Chr7,4477647,4478018,expressed protein
LOC_Os07g32290,Chr7,19192550,19192801,expressed protein
LOC_Os10g22770,Chr10,11835870,11838220,expressed protein
LOC_Os07g46780,Chr7,27950862,27957487,"tyrosine-specific transport protein, putative, expressed"
LOC_Os07g40870,Chr7,24477362,24478154,"igA FC receptor precursor, putative, expressed"
LOC_Os04g40680,Chr4,24145933,24148011,expressed protein
LOC_Os04g30800,Chr4,18414314,18417609,"ER lumen protein retaining receptor, putative, expressed"
LOC_Os12g08970,Chr12,4694834,4696977,hypothetical protein
LOC_Os11g24170,Chr11,13743944,13749580,"CC-NBS-LRR protein, putative, expressed"
LOC_Os01g15340,Chr1,8586049,8586941,"flowering promoting factor-like 1, putative, expressed"
LOC_Os06g20260,Chr6,11624799,11627172,expressed protein
LOC_Os05g42000,Chr5,24587145,24589539,"peroxidase precursor, putative, expressed"
LOC_Os06g06860,Chr6,3241818,3246312,"MLA1, putative, expressed"
LOC_Os08g09920,Chr8,5728025,5732220,"OsFBX277 - F-box domain containing protein, expressed"
LOC_Os09g23540,Chr9,13986804,13988784,"dehydrogenase, putative, expressed"
LOC_Os11g04980,Chr11,2131895,2141398,"acyl-CoA synthetase protein, putative, expressed"
LOC_Os08g25310,Chr8,15391571,15398652,"phosphatidylinositol transfer, putative, expressed"
LOC_Os06g12720,Chr6,6945033,6947818,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os04g53020,Chr4,31575624,31576441,GRF zinc finger family protein
LOC_Os06g08200,Chr6,3975756,3976128,expressed protein
LOC_Os02g46520,Chr2,28362823,28366935,"hydrolase, putative, expressed"
LOC_Os07g33915,Chr7,20280251,20280923,"60S ribosomal protein L44, putative, expressed"
LOC_Os02g18500,Chr2,10772435,10773889,"chlorophyllase-2, chloroplast precursor, putative"
LOC_Os04g40930,Chr4,24296450,24301211,"MYB family transcription factor, putative, expressed"
LOC_Os06g43640,Chr6,26254119,26259281,"Ser/Thr protein phosphatase family protein, putative, expressed"
LOC_Os09g09250,Chr9,4955357,4958281,"retrotransposon protein, putative, Ty3-gypsy subclass, expressed"
LOC_Os10g35170,Chr10,18773359,18777132,"semialdehyde dehydrogenase, NAD binding domain containing protein, putative, expressed"
LOC_Os07g15460,Chr7,8966023,8970882,"metal transporter Nramp6, putative, expressed"
LOC_Os01g58790,Chr1,33971187,33977326,"GHMP kinases ATP-binding protein, putative, expressed"
LOC_Os12g23754,Chr12,13487313,13490733,expressed protein
LOC_Os01g38850,Chr1,21795493,21797134,"receptor-like serine-threonine protein kinase, putative, expressed"
LOC_Os12g29350,Chr12,17415611,17425464,"ATP binding protein, putative, expressed"
LOC_Os09g16650,Chr9,10203785,10204857,"legume lectins beta domain containing protein, putative, expressed"
LOC_Os09g04090,Chr9,2117169,2122452,expressed protein
LOC_Os09g36740,Chr9,21197503,21199723,"tetratricopeptide repeat domain containing protein, expressed"
LOC_Os07g48750,Chr7,29182947,29188670,"alpha-N-arabinofuranosidase, putative, expressed"
LOC_Os09g33986,Chr9,20066957,20069513,"peptidase, T1 family, putative, expressed"
LOC_Os01g11220,Chr1,6004879,6007163,"hydrolase, acting on carbon-nitrogen, putative, expressed"
LOC_Os08g17220,Chr8,10546528,10547052,"uncharacterized PE-PGRS family protein PE_PGRS54 precursor, putative, expressed"
LOC_Os06g45390,Chr6,27441352,27444894,expressed protein
LOC_Os08g44350,Chr8,27904573,27909555,"histidine-containing phosphotransfer protein, putative, expressed"
LOC_Os12g14100,Chr12,7997383,8000367,"amino acid transporter, putative, expressed"
LOC_Os05g15790,Chr5,8910785,8911305,expressed protein
LOC_Os03g53440,Chr3,30659867,30660655,expressed protein
LOC_Os02g10010,Chr2,5207168,5208686,expressed protein
LOC_Os12g38420,Chr12,23589982,23590587,expressed protein
LOC_Os01g20150,Chr1,11446404,11449442,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os05g43190,Chr5,25077924,25078602,expressed protein
LOC_Os03g17610,Chr3,9797352,9799915,"OsTOP6A3 - Topoisomerase 6 subunit A homolog 3, expressed"
LOC_Os08g21810,Chr8,13057114,13058417,"retrotransposon, putative, centromere-specific, expressed"
LOC_Os04g22940,Chr4,13018364,13018822,expressed protein
LOC_Os01g52120,Chr1,29971301,29972035,expressed protein
LOC_Os07g46680,Chr7,27900378,27901545,expressed protein
LOC_Os08g28090,Chr8,17138189,17138416,hypothetical protein
LOC_Os01g01470,Chr1,241641,243468,"no apical meristem protein, putative, expressed"
LOC_Os08g09690,Chr8,5597554,5601329,"nuclear transcription factor Y subunit, putative, expressed"
LOC_Os06g46260,Chr6,28020724,28021805,hypothetical protein
LOC_Os05g50440,Chr5,28912635,28919060,expressed protein
LOC_Os10g29159,Chr10,15186753,15186995,expressed protein
LOC_Os10g22020,Chr10,11372185,11372673,"RGH2B, putative, expressed"
LOC_Os02g03860,Chr2,1637578,1641859,"mitochondrial ATP synthase precursor, putative, expressed"
LOC_Os09g34230,Chr9,20214376,20216181,"UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed"
LOC_Os01g59050,Chr1,34131829,34133381,"cytochrome P450, putative, expressed"
LOC_Os01g21490,Chr1,11999382,12002924,"transposon protein, putative, CACTA, En/Spm sub-class"
LOC_Os05g51780,Chr5,29718182,29719699,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os09g26920,Chr9,16356707,16360010,"OsSub57 - Putative Subtilisin homologue, expressed"
LOC_Os01g16320,Chr1,9254034,9256622,"plant-specific domain TIGR01570 family protein, expressed"
LOC_Os03g19390,Chr3,10911693,10913611,"TENA/THI-4 family protein, putative, expressed"
LOC_Os01g04480,Chr1,1993515,1996857,expressed protein
LOC_Os02g08050,Chr2,4239053,4240510,expressed protein
LOC_Os07g25570,Chr7,14658547,14660951,expressed protein
LOC_Os08g36490,Chr8,23039415,23044624,"kinetochore protein, putative, expressed"
LOC_Os12g34120,Chr12,20671414,20673144,hypothetical protein
LOC_Os08g13650,Chr8,8119670,8123230,expressed protein
LOC_Os04g30260,Chr4,18061449,18064800,"OsWAK47 - OsWAK receptor-like protein kinase, expressed"
LOC_Os12g13950,Chr12,7921635,7926719,"POLA2 - Putative DNA polymerase alpha complex subunit, expressed"
LOC_Os04g45080,Chr4,26669166,26671984,expressed protein
LOC_Os11g47039,Chr11,28267175,28267933,expressed protein
LOC_Os02g56280,Chr2,34439761,34444762,"zinc finger family protein, putative, expressed"
LOC_Os05g22790,Chr5,12926399,12927140,expressed protein
LOC_Os11g39220,Chr11,23354149,23358318,"acyl-coenzyme A oxidase, putative, expressed"
LOC_Os08g24250,Chr8,14638260,14640167,hypothetical protein
LOC_Os10g29050,Chr10,15138433,15140147,"MBTB43 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
LOC_Os06g01800,Chr6,461137,465799,expressed protein
LOC_Os02g27210,Chr2,16006423,16009298,hypothetical protein
LOC_Os02g35840,Chr2,21529602,21532808,expressed protein
LOC_Os04g42550,Chr4,25178342,25178830,expressed protein
LOC_Os08g26820,Chr8,16307672,16310159,"plant protein of unknown function domain containing protein, expressed"
LOC_Os09g11530,Chr9,6442329,6443669,expressed protein
LOC_Os07g06100,Chr7,2953361,2954369,expressed protein
LOC_Os08g01610,Chr8,361152,366564,"DUF250 domain containing protein, putative, expressed"
LOC_Os12g40190,Chr12,24872483,24877350,"G-protein alpha subunit, putative, expressed"
LOC_Os03g32830,Chr3,18783634,18784280,hypothetical protein
LOC_Os10g39890,Chr10,21338218,21339608,"POEI31 - Pollen Ole e I allergen and extensin family protein precursor, putative, expressed"
LOC_Os03g52300,Chr3,30034104,30036867,"SCP-like extracellular protein, expressed"
LOC_Os08g27780,Chr8,16919056,16920093,"OsWAK77 - OsWAK receptor-like cytoplasmic kinase OsWAK-RLCK, expressed"
LOC_Os04g12370,Chr4,6822235,6822666,expressed protein
LOC_Os11g38765,Chr11,23053077,23053500,expressed protein
LOC_Os05g37310,Chr5,21829944,21830399,expressed protein
LOC_Os07g09675,Chr7,5133446,5136685,expressed protein
LOC_Os05g02690,Chr5,956022,957051,"sensitivity to red light reduced protein 1, putative, expressed"
LOC_Os07g34900,Chr7,20919365,20920732,"aspartic proteinase nepenthesin precursor, putative, expressed"
LOC_Os07g28600,Chr7,16737679,16741246,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os12g32260,Chr12,19481083,19482377,expressed protein
LOC_Os07g40520,Chr7,24274177,24276956,"formin-like protein 20, putative, expressed"
LOC_Os07g09680,Chr7,5145085,5148754,"ras-related protein, putative, expressed"
LOC_Os01g69970,Chr1,40463007,40467759,"WD domain, G-beta repeat domain containing protein, expressed"
LOC_Os07g36950,Chr7,22125139,22127924,expressed protein
LOC_Os01g61530,Chr1,35593033,35593458,expressed protein
LOC_Os02g29774,Chr2,17718577,17720440,expressed protein
LOC_Os01g43350,Chr1,24784442,24788249,"protein kinase family protein, putative, expressed"
LOC_Os03g28070,Chr3,16133593,16134773,expressed protein
LOC_Os09g17049,Chr9,10448414,10452768,expressed protein
LOC_Os12g31790,Chr12,19126131,19129712,expressed protein
LOC_Os02g18550,Chr2,10822643,10825727,"40S ribosomal protein S3a, putative, expressed"
LOC_Os02g49980,Chr2,30533421,30536379,"ADP-ribosylation factor, putative, expressed"
LOC_Os03g40040,Chr3,22243187,22244649,expressed protein
LOC_Os03g14170,Chr3,7686704,7688842,"3-ketoacyl-CoA synthase, putative, expressed"
LOC_Os05g41480,Chr5,24287569,24289620,"domain of unknown function, DUF250 domain containing protein, expressed"
LOC_Os02g27350,Chr2,16111613,16114330,expressed protein
LOC_Os07g23710,Chr7,13382831,13383995,"cytochrome P450, putative, expressed"
LOC_Os10g11830,Chr10,6557568,6557982,expressed protein
LOC_Os02g12890,Chr2,6802606,6805335,"cytochrome P450, putative, expressed"
LOC_Os11g22660,Chr11,13035853,13037077,expressed protein
LOC_Os06g29250,Chr6,16693757,16694669,expressed protein
LOC_Os09g29490,Chr9,17932644,17935814,"peroxidase precursor, putative, expressed"
LOC_Os08g18850,Chr8,11251538,11251841,hypothetical protein
LOC_Os10g30500,Chr10,15861348,15861614,hypothetical protein
LOC_Os01g21100,Chr1,11774396,11775010,expressed protein
LOC_Os10g08022,Chr10,4343582,4345509,"fructose-bisphospate aldolase isozyme, putative, expressed"
LOC_Os07g01530,Chr7,333160,334829,expressed protein
LOC_Os10g30390,Chr10,15796178,15799887,"cytochrome P450, putative, expressed"
LOC_Os01g14800,Chr1,8273486,8273941,expressed protein
LOC_Os10g07602,Chr10,4130664,4131931,expressed protein
LOC_Os12g04270,Chr12,1807671,1811164,"cytochrome c-type biogenesis protein dbsD-like, putative, expressed"
LOC_Os05g51580,Chr5,29583829,29584291,hypothetical protein
LOC_Os06g11130,Chr6,5835562,5837122,"gibberellin receptor GID1L2, putative, expressed"
LOC_Os09g37260,Chr9,21524369,21525566,expressed protein
LOC_Os08g40190,Chr8,25434400,25436334,expressed protein
LOC_Os01g70920,Chr1,41052348,41056649,"cullin-1, putative, expressed"
LOC_Os09g14530,Chr9,8594721,8597310,"hAT dimerisation domain-containing protein, putative"
LOC_Os01g43460,Chr1,24861584,24864291,"C4-dicarboxylate transporter/malic acid transport protein, expressed"
LOC_Os06g43670,Chr6,26279804,26292345,"Leucine Rich Repeat family protein, expressed"
LOC_Os03g06930,Chr3,3513287,3517214,"homeodomain protein, putative, expressed"
LOC_Os02g28280,Chr2,16721215,16722896,expressed protein
LOC_Os05g08450,Chr5,4613625,4615302,expressed protein
LOC_Os06g07120,Chr6,3405164,3407737,"dehydrodolichyl diphosphate synthase, putative, expressed"
LOC_Os08g26890,Chr8,16388813,16389966,expressed protein
LOC_Os12g09080,Chr12,4746629,4747737,"brevis radix, putative, expressed"
LOC_Os04g38274,Chr4,22779285,22779555,expressed protein
LOC_Os08g41810,Chr8,26406229,26408402,"ribosomal protein L22, putative, expressed"
LOC_Os12g25120,Chr12,14423595,14424893,"core histone H2A/H2B/H3/H4, putative, expressed"
LOC_Os06g43060,Chr6,25880229,25880838,expressed protein
LOC_Os02g05660,Chr2,2766217,2770021,"DEAD-box ATP-dependent RNA helicase 35A, putative, expressed"
LOC_Os12g25450,Chr12,14713945,14716498,"O-methyltransferase, putative, expressed"
LOC_Os05g47580,Chr5,27261643,27262993,expressed protein
LOC_Os06g03080,Chr6,1137134,1138970,"aspartic protease, putative, expressed"
LOC_Os11g37980,Chr11,22514187,22518111,"GAUT2/LGT2, putative, expressed"
LOC_Os09g15930,Chr9,9725416,9725742,expressed protein
LOC_Os01g73290,Chr1,42474669,42475371,expressed protein
LOC_Os07g02350,Chr7,799478,805187,"casein kinase II subunit alpha-2, putative, expressed"
LOC_Os09g28130,Chr9,17075190,17075709,"carbonic anhydrase family protein, putative, expressed"
LOC_Os06g07170,Chr6,3433633,3433886,hypothetical protein
LOC_Os03g26090,Chr3,14946645,14953481,"GPI-anchored wall transfer protein 1, putative, expressed"
LOC_Os05g39180,Chr5,22974495,22978038,expressed protein
LOC_Os08g36580,Chr8,23080316,23081038,expressed protein
LOC_Os09g29640,Chr9,18022109,18022348,hypothetical protein
LOC_Os02g47370,Chr2,28921176,28921795,"transcription factor TF2, putative, expressed"
LOC_Os01g41340,Chr1,23392955,23394611,"OsFBL1 - F-box domain and LRR containing protein, expressed"
LOC_Os09g25620,Chr9,15385601,15389096,"CPuORF8 - conserved peptide uORF-containing transcript, expressed"
LOC_Os04g35500,Chr4,21600633,21601904,"ZF-HD protein dimerisation region containing protein, expressed"
LOC_Os02g27070,Chr2,15916061,15919906,"PPR repeat domain containing protein, putative, expressed"
LOC_Os03g16812,Chr3,9325760,9326017,expressed protein
LOC_Os08g02190,Chr8,740821,745515,expressed protein
LOC_Os09g11930,Chr9,6709215,6710112,expressed protein
LOC_Os01g24090,Chr1,13582036,13584917,"TPR repeat, putative, expressed"
LOC_Os08g07450,Chr8,4179589,4180539,"glutaredoxin protein, putative, expressed"
LOC_Os03g17432,Chr3,9699177,9700391,"pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16, putative, expressed"
LOC_Os10g32400,Chr10,16981456,16989699,"PsbP, putative, expressed"
LOC_Os07g15530,Chr7,9003992,9004219,expressed protein
LOC_Os06g49510,Chr6,29989930,29994451,"zinc knuckle family protein, putative, expressed"
LOC_Os08g34970,Chr8,22013811,22024673,"conserved oligomeric Golgi complex component 3, putative, expressed"
LOC_Os08g16800,Chr8,10284823,10285335,expressed protein
LOC_Os10g29250,Chr10,15224648,15224992,hypothetical protein
LOC_Os04g44170,Chr4,26148260,26148880,expressed protein
LOC_Os05g39790,Chr5,23374684,23377618,"transposon protein, putative, unclassified, expressed"
LOC_Os05g33080,Chr5,19398906,19403556,"serine/threonine-protein kinase, putative, expressed"
LOC_Os11g05290,Chr11,2343616,2344713,"stress responsive A/B Barrel domain containing protein, expressed"
LOC_Os02g35730,Chr2,21468172,21468883,expressed protein
LOC_Os08g29340,Chr8,17995699,17997619,"ligA, putative, expressed"
LOC_Os01g23880,Chr1,13442496,13443696,expressed protein
LOC_Os03g52680,Chr3,30203734,30204917,expressed protein
LOC_Os08g41340,Chr8,26120574,26123503,"ras-related protein, putative, expressed"
LOC_Os07g42510,Chr7,25440818,25442695,"AP2 domain containing protein, expressed"
LOC_Os09g33730,Chr9,19920850,19921510,expressed protein
LOC_Os02g42250,Chr2,25411509,25412468,"5-azacytidine resistance protein related, putative, expressed"
LOC_Os04g54500,Chr4,32418363,32423997,"POLGAMMA2, putative, expressed"
LOC_Os04g42020,Chr4,24889983,24891487,"CCT/B-box zinc finger protein, putative, expressed"
LOC_Os12g01040,Chr12,25538,27007,"exo70 exocyst complex subunit domain containing protein, expressed"
LOC_Os02g08420,Chr2,4497077,4500449,"cinnamoyl CoA reductase, putative, expressed"
LOC_Os01g70280,Chr1,40704794,40705722,expressed protein
LOC_Os11g42920,Chr11,25873852,25876092,expressed protein
LOC_Os08g44590,Chr8,28043209,28045588,"gibberellin 20 oxidase 2, putative, expressed"
LOC_Os08g35110,Chr8,22136791,22137879,"OsSAUR33 - Auxin-responsive SAUR gene family member, expressed"
LOC_Os01g66950,Chr1,38888805,38889245,expressed protein
LOC_Os09g20970,Chr9,12627180,12629654,"receptor kinase, putative, expressed"
LOC_Os06g48810,Chr6,29538934,29541219,"OsHKT2;1 - Na+ transporter, expressed"
LOC_Os08g06060,Chr8,3307520,3310590,"CGMC_MAPKCMGC_2_ERK.13 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed"
LOC_Os08g28940,Chr8,17699124,17703845,"OsFBX289 - F-box domain containing protein, expressed"
LOC_Os08g23030,Chr8,13868915,13869157,hypothetical protein
LOC_Os04g47170,Chr4,28013719,28017003,"ATROPGEF7/ROPGEF7, putative, expressed"
LOC_Os01g04250,Chr1,1876913,1879903,expressed protein
LOC_Os02g27360,Chr2,16114897,16120440,"aspartic proteinase-like protein 2 precursor, putative, expressed"
LOC_Os06g09190,Chr6,4624188,4625517,"mitogen-activated protein kinase kinase 5, putative, expressed"
LOC_Os11g45940,Chr11,27799133,27800295,expressed protein
LOC_Os07g07550,Chr7,3762246,3766453,"galactose-1-phosphate uridyl transferase, putative, expressed"
LOC_Os02g50470,Chr2,30813482,30814721,expressed protein
LOC_Os02g15169,Chr2,8465035,8467151,"glutelin, putative, expressed"
LOC_Os03g12670,Chr3,6754271,6756992,expressed protein
LOC_Os01g71320,Chr1,41305317,41314527,"hexokinase, putative, expressed"
LOC_Os01g12464,Chr1,6833050,6835300,"CHCH domain containing protein, expressed"
LOC_Os07g09610,Chr7,5102509,5107298,"CAMK_KIN1/SNF1/Nim1_like_AMPKh.1 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
LOC_Os06g14240,Chr6,7940906,7941692,"hsp20/alpha crystallin family protein, putative, expressed"
LOC_Os02g54830,Chr2,33579496,33581267,"RING-H2 finger protein, putative, expressed"
LOC_Os03g57620,Chr3,32845909,32847980,expressed protein
LOC_Os08g40080,Chr8,25374630,25375317,expressed protein
